2.53067E+14,,253,670
"TXST DRIVE TOTALS: 11 plays, 82 yards, 1:51",,,
Georgia Southern at 1:05,,GSU,TST
,Will Johnson on-side kick recovered by GA SOUTHERN at the TexSt 45,28,25
1st and 10 at TXST 45,Alfred Ramsby run for 2 yds to the TexSt 43,,
,"Timeout TEXAS STATE, clock 00:50",,
2nd and 8 at TXST 43,Matt Breida run for 4 yds to the TexSt 39,,
,"Timeout TEXAS STATE, clock 00:46",,
3rd and 4 at TXST 39,Kevin Ellison run for 2 yds to the TexSt 37,,
,"Timeout GA SOUTHERN, clock 00:02",,
4th and 2 at TXST 37,TEAM run for a loss of 8 yards to the TexSt 45,,
,End of 4th Quarter,,
"GASO DRIVE TOTALS: 4 plays, 0 yards, 1:05",,,
