0721046520141108,,721,465
1st and 10 at UNLV 42,Devin Rushing run for 2 yds to the UNLV 40,,
2nd and 8 at UNLV 40,Devin Rushing run for 3 yds to the UNLV 37,,
3rd and 5 at UNLV 37,Devin Rushing run for 5 yds to the UNLV 32 for a 1ST down,,
1st and 10 at UNLV 32,Paco Solano run for 3 yds to the UNLV 29,,
2nd and 7 at UNLV 29,Broam Hart run for 2 yds to the UNLV 27,,
3rd and 5 at UNLV 27,Broam Hart run for 5 yds to the UNLV 22 for a 1ST down,,
1st and 10 at UNLV 22,Paco Solano run for 1 yd to the UNLV 21,,
2nd and 9 at UNLV 21,TEAM run for a loss of 4 yards to the UNLV 25,,
3rd and 13 at UNLV 25,TEAM run for a loss of 1 yard to the UNLV 26,,
,End of 4th Quarter,,
"AFA DRIVE TOTALS: 13 plays, 27 yards, 8:00"
