Position,Down,Distance,Plays,Runs,Run Yards Exp,Run Points Exp,Passes,Pass Yards Exp,Pass Points Exp,Sacks,Sack Yards Exp,Sack Points Exp,Punts,Field Goals,Expected Yards,Expected Points
25,3,1,272,95,5.231578947,3.294736842,165,6.727272727,3.654545455,8,-5.625,1.625,0,1,5.828358209,3.46641791
25,3,2,311,54,6.722222222,2.944444444,236,5.716101695,2.737288136,18,-6,1.277777778,0,2,5.207792208,2.688311688
25,3,3,148,28,9.071428571,3.321428571,102,6.519607843,2.431372549,13,-7.615384615,0.923076923,0,2,5.734265734,2.468531469
25,3,4,17,3,5.333333333,1,12,4.583333333,2.083333333,2,-3.5,0,0,0,3.764705882,1.647058824
25,4,0,173,74,3.216216216,2.689189189,35,5.971428571,3.228571429,5,-8.4,0,0,59,3.552631579,2.736842105
25,4,1,122,13,12.15384615,3.461538462,27,5.703703704,2.296296296,2,-7.5,0,2,78,7.071428571,2.547619048
25,4,2,146,4,6,1.75,30,5.966666667,1.4,2,-7.5,0,1,108,5.222222222,1.361111111
25,4,3,90,3,11.66666667,2.333333333,8,13.125,3.5,0,0,0,2,77,12.72727273,3.181818182
25,4,4,9,0,0,0,1,0,0,0,0,0,2,6,0,0
30,1,0,1,0,0,0,1,-2,7,0,0,0,0,0,-2,7
30,1,1,10,4,13.25,6,6,8.166666667,1.666666667,0,0,0,0,0,10.2,3.4
30,1,2,2041,1160,5.59137931,3.715517241,796,7.449748744,4.064070352,50,-6.92,2.32,0,4,6.016949153,3.819042871
30,1,3,88,33,4.939393939,2.909090909,26,3.269230769,4.423076923,1,-11,0,0,0,3.95,3.516666667
30,1,4,15,6,1.833333333,1,9,5.777777778,4.666666667,0,0,0,0,0,4.2,3.2
30,2,0,233,154,5.785714286,3.961038961,73,8.589041096,4.164383562,2,-6,3,0,2,6.576419214,4.017467249
30,2,1,348,198,4.46969697,3.898989899,140,6.5,4.378571429,8,-6.625,0.875,0,1,5.034682081,4.023121387
30,2,2,790,377,6.029177719,3.721485411,381,7.146981627,3.606299213,24,-5.625,1.625,0,3,6.216112532,3.601023018
30,2,3,248,76,6.118421053,3.013157895,153,7.08496732,2.921568627,8,-7.875,0.875,0,0,6.270042194,2.88185654
30,2,4,20,7,12,5.285714286,13,11.46153846,2.846153846,0,0,0,0,0,11.65,3.7
30,3,0,286,204,4.43627451,3.406862745,80,7.1125,3.3375,2,-7.5,0,0,0,5.101398601,3.363636364
30,3,1,268,90,6.566666667,2.955555556,167,7.25748503,3.155688623,10,-7.2,0,0,1,6.483146067,2.970037453
30,3,2,311,66,5.303030303,2.015151515,219,8.904109589,3.187214612,21,-4.666666667,0.952380952,0,3,7.196078431,2.781045752
