VTech,742,Virginia Tech,
UVA,746,Virginia,
Virg,746,Virginia,
virginia,746,Virginia,
WAG,748,Wagner,
wagner,748,Wagner,
WAKE,749,Wake Forest,
WAKEFOREST,749,Wake Forest,
wake-forest,749,Wake Forest,
WF,749,Wake Forest,
WFrst,749,Wake Forest,
washington-st,754,Washington State,
WASHST,754,Washington State,
WshSt,754,Washington State,
WST,754,Washington State,
WAS,756,Washington,
WASH,756,Washington,
washington,756,Washington,
WBS,758,Weber State,
WEB,758,Weber State,
weber-st,758,Weber State,
WebSt,758,Weber State,
WESTVIR,768,West Virginia,
west-virginia,768,West Virginia,
WVirg,768,West Virginia,
WVU,768,West Virginia,
WC,769,Western Carolina,
WCar,769,Western Carolina,
WCaro,769,Western Carolina,
wcarolina,769,Western Carolina,
western-caro,769,Western Carolina,
western-ill,771,Western Illinois,
WIL,771,Western Illinois,
WIll,771,Western Illinois,
willinois,771,Western Illinois,
WESTERNKY,772,Western Kentucky,
western-ky,772,Western Kentucky,
WKent,772,Western Kentucky,
wkentucky,772,Western Kentucky,
WKY,772,Western Kentucky,
western-mich,774,Western Michigan,
WESTMICH,774,Western Michigan,
WMC,774,Western Michigan,
WMich,774,Western Michigan,
wmichigan,774,Western Michigan,
W&M,786,William & Mary,
william-mary,786,William & Mary,
WM,786,William & Mary,
WmMry,786,William & Mary,
WIS,796,Wisconsin,
Wisc,796,Wisconsin,
wisconsin,796,Wisconsin,
WYO,811,Wyoming,
Wyom,811,Wyoming,
wyoming,811,Wyoming,
YAL,813,Yale,
yale,813,Yale,
youngstown-st,817,Youngstown State,
YSU,817,Youngstown State,
centarkansas,1004,Central Arkansas,
central-ark,1004,Central Arkansas,
UCA,1004,Central Arkansas,
ELO,1068,Elon,
elon,1068,Elon,
ElonU,1068,Elon,
gardner-webb,1092,Gardner-Webb,
GrdWb,1092,Gardner-Webb,
GWB,1092,Gardner-Webb,
WEBB,1092,Gardner-Webb,
PRE,1320,Presbyterian,
PRES,1320,Presbyterian,
Presb,1320,Presbyterian,
presbyterian,1320,Presbyterian,
Presbyterian College,1320,Presbyterian,
APB,2678,Arkansas-Pine Bluff,
ArkPB,2678,Arkansas-Pine Bluff,
ark-pine-bluff,2678,Arkansas-Pine Bluff,
ARPB,2678,Arkansas-Pine Bluff,
arpinebluff,2678,Arkansas-Pine Bluff,
WOF,2915,Wofford,
Woffd,2915,Wofford,
wofford,2915,Wofford,
Southern Mississippi,664,Southern Mississippi
Western Kentucky,772,Western Kentucky
Alcorn State,17,Alcorn St.
Arkansas State,30,Arkansas State
Appalachian State,27,Appalachian State
Georgia Southern,253,Georgia Southern
Michigan,418,Michigan
Louisiana Lafayette,671,Louisiana-Lafayette
Arizona State,28,Arizona State
Arizona,29,Arizona
Colorado,157,Colorado
New Mexico,473,New Mexico
Oregon State,528,Oregon State
Washington,756,Washington
Oregon,529,Oregon
Utah,732,Utah
Washington State,754,Washington State
Idaho,295,Idaho
Miami (FL),415,Miami (Florida)
Texas State,670,Texas State
Auburn,37,Auburn
Texas A&M,697,Texas A&M
Texas Tech,700,Texas Tech
Georgia,257,Georgia
Kansas State,327,Kansas State
Memphis,404,Memphis
Austin Peay,43,Austin Peay
Bowling Green,71,Bowling Green
Central Michigan,129,Central Michigan
Iowa,312,Iowa
Massachusetts,400,Massachusetts
Toledo,709,Toledo
Army,725,Army
Charleston Southern,48,Charleston So.
Vanderbilt,736,Vanderbilt
Baylor,51,Baylor
Iowa State,311,Iowa State
Oklahoma,522,Oklahoma
Texas,703,Texas
West Virginia,768,West Virginia
Bethune-Cookman,61,Bethune-Cookman
Connecticut,164,Connecticut
Boise State,66,Boise State
Nevada,466,Nevada
Air Force,721,Air Force
Wyoming,811,Wyoming
Florida State,234,Florida State
Boston College,67,Boston College
NC State,490,North Carolina State
Virginia Tech,742,Virginia Tech
Wake Forest,749,Wake Forest
Wisconsin,796,Wisconsin
California,107,California
Eastern Michigan,204,Eastern Michigan
New Mexico State,472,New Mexico State
Cal Poly,90,Cal Poly
Fresno State,96,Fresno State
Sacramento State,102,Sacramento State
Northwestern,509,Northwestern
Colorado State,156,Colorado State
UC Davis,108,UC Davis
Virginia,746,Virginia
Campbell,115,Campbell
East Carolina,196,East Carolina
Houston,288,Houston
South Florida,651,South Florida
Kansas,328,Kansas
Northern Illinois,503,Northern Illinois
Purdue,559,Purdue
Cincinnati,140,Cincinnati
Ohio State,518,Ohio State
Temple,690,Temple
Tulane,718,Tulane
The Citadel,141,Citadel
Clemson,147,Clemson
Georgia Tech,255,Georgia Tech
Colgate,153,Colgate
Delaware State,178,Delaware State
Duke,193,Duke
Syracuse,688,Syracuse
Duquesne,194,Duquesne
South Carolina,648,South Carolina
Tulsa,719,Tulsa
Minnesota,428,Minnesota
Eastern Illinois,201,Eastern Illinois
Eastern Kentucky,202,Eastern Kentucky
Florida,235,Florida
Miami (OH),414,Miami (Ohio)
Michigan State,416,Michigan State
Old Dominion,523,Old Dominion
Western Michigan,774,Western Michigan
Florida A&M,228,Florida A&M
Florida Atlantic,229,Florida Atlantic
Marshall,388,Marshall
Nebraska,463,Nebraska
North Texas,497,North Texas
Louisville,367,Louisville
Oklahoma State,521,Oklahoma State
Fordham,236,Fordham
Furman,244,Furman
South Alabama,646,South Alabama
Navy,726,Navy
North Carolina,457,North Carolina
Kentucky,334,Kentucky
Grambling State,261,Grambling
Hampton,270,Hampton
Hawaii,277,Hawai'i
Rice,574,Rice
San Diego State,626,San Diego State
Howard,290,Howard
Rutgers,587,Rutgers
Utah State,731,Utah State
Idaho State,294,Idaho State
Louisiana Monroe,498,Louisiana-Monroe
Illinois,301,Illinois
Indiana State,305,Indiana State
Indiana,306,Indiana
Maryland,392,Maryland
Jacksonville State,315,Jacksonville State
James Madison,317,James Madison
Lamar,346,Lamar
Liberty,355,Liberty
Louisiana Tech,366,Louisiana Tech
Notre Dame,513,Notre Dame
Maine,380,Maine
McNeese State,402,McNeese State
Southern,665,Southern University
